,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
80,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
81,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
82,MSI,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,109991
83,Others,Window,Others,4,Others,Others,1,15.6,SSD,128,32990
84,Infinix,Window,Others,16,Intel,Others,1,15.6,SSD,512,37991
85,APPLE,Mac,,8,Others,Others,1,15.6,SSD,512,139991
86,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,35590
87,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,150990
88,Lenovo,Window,DDR4,4,Intel,Others,1,15.6,SSD,256,29991
89,Lenovo,Others,DDR4,4,Intel,Others,1,15.6,SSD,128,19491
90,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
91,Lenovo,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,73490
92,ASUS,Window,DDR4,8,AMD,Others,1,15.6,HDD,1024,52990
93,HP,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,41890
94,DELL,Window,DDR4,8,Intel,Intel,1,15.6,SSD,256,30429
95,acer,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,34990
96,Lenovo,Others,DDR4,4,Intel,Others,1,15.6,SSD,128,19491
97,Lenovo,Window,DDR4,4,Intel,Others,1,15.6,SSD,256,29991
98,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,256,88991
99,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
100,MSI,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,65991
101,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,33491
102,HP,Window,DDR4,16,Intel,Others,1,14.0,SSD,512,60990
103,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
104,HP,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,46991
105,ASUS,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,59991
106,MSI,Window,DDR4,16,Intel,Others,2,15.6,SSD,1024,114990
107,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
108,ASUS,Window,DDR4,16,Intel,Others,1,15.6,SSD,1024,119991
109,Infinix,Window,Others,8,Intel,Others,1,15.6,SSD,512,42990
110,ASUS,Window,Others,16,Intel,Others,1,15.6,SSD,512,89991
111,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
112,MSI,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,79990
113,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,1024,70990
114,Lenovo,Window,DDR4,8,Intel,Others,1,15.6,SSD,256,33901
115,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
116,Others,Window,DDR4,8,Intel,Intel,1,14.0,SSD,512,59991
117,Infinix,Window,Others,16,Intel,Others,1,15.6,SSD,512,52990
118,APPLE,Mac,DDR4,16,Others,Others,1,14.0,SSD,512,124991
119,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
120,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,256,31991
121,acer,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,66990
122,DELL,Window,DDR4,16,AMD,NVIDIA,1,15.6,SSD,512,89081
123,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
124,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,512,104991
125,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,53491
126,ASUS,Window,Others,8,Intel,Others,1,15.6,SSD,256,45991
127,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
128,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,45991
129,MSI,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,51990
130,HP,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,75990
131,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
132,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,256,36990
133,HP,Window,DDR4,16,Intel,Others,1,14.0,SSD,512,78801
134,HP,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,29390
135,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
136,Infinix,Window,Others,8,Intel,Others,1,14.0,SSD,256,30990
137,Lenovo,Window,DDR4,16,Intel,Others,2,15.6,SSD,512,62491
138,ASUS,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,89991
