,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
76,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
77,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
78,MSI,Window,DDR4,16,Intel,Others,2,15.6,SSD,512,11.350301
79,APPLE,Mac,,16,Others,Others,1,14.0,SSD,512,12.111712
80,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
81,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
82,MSI,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.608154
83,Others,Window,Others,4,Others,Others,1,15.6,SSD,128,10.40399
84,Infinix,Window,Others,16,Intel,Others,1,15.6,SSD,512,10.545105
85,APPLE,Mac,,8,Others,Others,1,15.6,SSD,512,11.849334
86,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
87,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975
88,Lenovo,Window,DDR4,4,Intel,Others,1,15.6,SSD,256,10.308653
89,Lenovo,Others,DDR4,4,Intel,Others,1,15.6,SSD,128,9.877708
90,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
91,Lenovo,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.204918
92,ASUS,Window,DDR4,8,AMD,Others,1,15.6,HDD,1024,10.877877
93,HP,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.642826
94,DELL,Window,DDR4,8,Intel,Intel,1,15.6,SSD,256,10.323152
95,acer,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.462846
96,Lenovo,Others,DDR4,4,Intel,Others,1,15.6,SSD,128,9.877708
97,Lenovo,Window,DDR4,4,Intel,Others,1,15.6,SSD,256,10.308653
98,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,256,11.396291
99,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
100,MSI,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,11.097274
101,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.419032
102,HP,Window,DDR4,16,Intel,Others,1,14.0,SSD,512,11.018481
103,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
104,HP,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.757711
105,ASUS,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.00195
106,MSI,Window,DDR4,16,Intel,Others,2,15.6,SSD,1024,11.652609
107,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
108,ASUS,Window,DDR4,16,Intel,Others,1,15.6,SSD,1024,11.695172
109,Infinix,Window,Others,8,Intel,Others,1,15.6,SSD,512,10.668746
110,ASUS,Window,Others,16,Intel,Others,1,15.6,SSD,512,11.407465
111,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
112,MSI,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.289669
113,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,1024,11.170308
114,Lenovo,Window,DDR4,8,Intel,Others,1,15.6,SSD,256,10.4312
115,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
116,Others,Window,DDR4,8,Intel,Intel,1,14.0,SSD,512,11.00195
117,Infinix,Window,Others,16,Intel,Others,1,15.6,SSD,512,10.877877
118,APPLE,Mac,DDR4,16,Others,Others,1,14.0,SSD,512,11.735997
119,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
120,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,256,10.37321
121,acer,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.112313
122,DELL,Window,DDR4,16,AMD,NVIDIA,1,15.6,SSD,512,11.397312
123,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
124,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,512,11.56163
125,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.887269
126,ASUS,Window,Others,8,Intel,Others,1,15.6,SSD,256,10.736201
127,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
128,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.736201
129,MSI,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.858826
130,HP,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.23837
131,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
132,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,256,10.51843
133,HP,Window,DDR4,16,Intel,Others,1,14.0,SSD,512,11.274681
134,HP,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.288444
135,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
136,Infinix,Window,Others,8,Intel,Others,1,14.0,SSD,256,10.341452
137,Lenovo,Window,DDR4,16,Intel,Others,2,15.6,SSD,512,11.042778
138,ASUS,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,11.407465
139,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
140,HP,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.983597
141,MSI,Window,DDR4,16,Intel,Others,2,15.6,SSD,512,11.361998
142,DELL,Window,DDR4,8,AMD,Others,1,14.0,HDD,1024,10.407289
143,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
144,Lenovo,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.204918
145,Lenovo,Window,DDR4,8,Intel,Others,1,15.6,HDD,1024,11.058654
146,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
147,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
148,ASUS,Window,DDR4,8,AMD,AMD,1,14.0,SSD,512,10.571086
149,HP,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,11.1271305
150,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
151,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
